0,0
1,1
2,2
3,14
4,15
5,16
6,20
7,21
8,23
9,24
10,25
11,28
12,29
13,30
14,31
15,32
16,33
17,36
18,37
19,38
20,39
21,40
22,41
23,43
24,44
25,45
26,46
27,47
